No,ARO,Municipio,Ubicación,No. filtros ,Poblacion,Objeto,Tipo de filtro, Comunidad,Enfoque Diferencial,Lugar de entrega,COD. SISA,Fecha de entrega ,Año,Equipo,Responsable 
117,TULUA,RESTREPO,SAN MARTIN 1 ,13,#¡REF!,Vivienda,EKOFIL,Campesinos,NA,,,10/10/2025,2025,ROTARY,George Rivera - Rotary
118,TULUA,RESTREPO,SAN MARTIN 2 ,19,#¡REF!,Vivienda,EKOFIL,Campesinos,NA,,,10/10/2025,2025,ROTARY,George Rivera - Rotary
119,TULUA,RESTREPO,LA SOLEDAD ,14,#¡REF!,Vivienda,EKOFIL,Campesinos,NA,,,10/10/2025,2025,ROTARY,George Rivera - Rotary
120,CALI,VIJES,OCACHE,44,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,22/10/2025,2025,ROTARY,George Rivera - Rotary
121,CALI,VIJES,MOZAMBIQUE ,73,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,22/10/2025,2025,ROTARY,George Rivera - Rotary
122,CALI,BUENAVENTURA,BARRIO CASCAJAL,102,426,Vivienda,EKOFIL,Consejo comunitario ,Comunidad Afro,NA,,20/11/2025,2025,FGA,Lucrecia Vargas - Celsia
123,CALI,BUENAVENTURA,KM 9 - LA COLONIA (BAJO CALIMA),100,410,Vivienda,EKOFIL,Consejo comunitario ,Concejo Comunitario,NA,,4/12/2025,2025,FGA,Lucrecia Vargas - Celsia
124,CARTAGO,ARGELIA,LA CRISTALINA Y TARRITOS,39,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,NA,,17/12/2025,2025,UES,Cristian Amaris - Principal
125,TULUA,CAICEDONIA,LA RIVERA Y SAN GERARDO ,80,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,16/12/2025,2025,UES,Cristian Amaris - Principal
126,CARTAGO,EL AGUILA,INSITUCIONES EDUCATIVAS,3,#¡REF!,Institucion Educativa ,EKOFIL,Campesinos ,NA,,,18/12/2025,2025,UES,Cristian Amaris - Principal
127,CARTAGO,EL CAIRO,SAN JOSE ,6,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,19/12/2025,2025,UES,Cristian Amaris - Principal
128,CARTAGO,EL DOVIO,EL GUADUAL ,15,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,13/02/2025,2025,UES,Cristian Amaris - Principal
130,CARTAGO,LA UNION,DESPENSITAS - EL RINCON ,27,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,18/12/2025,2025,UES,Cristian Amaris - Principal
131,TULUA,SAN PEDRO,MONTEREDONDO - LOS MATES - ANGOSTURAS - GUAQUEROS - LA SIRIA ,153,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,17/122025,2025,UES,Cristian Amaris - Principal
132,TULUA,SEVILLA,MANZANILLO,76,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,15/12/2025,2025,UES,Cristian Amaris - Principal
133,CALI,VIJES,INSITUCIONES EDUCATIVAS,5,#¡REF!,Institucion Educativa ,EKOFIL,Campesinos ,NA,,,23/12/2025,2025,UES,Cristian Amaris - Principal
134,TULUA,YOTOCO,EL DELIRIO,96,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,13/12/2025,2025,UES,Cristian Amaris - Principal
135,CALI,VIJES,VIDAL,70,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,4/02/2026,2026,ROTARY,George Rivera - Rotary
136,TULUA,TRUJILLO,MELENAS - LA SONADORA,57,#¡REF!,Vivienda,EKOFIL,Campesinos ,NA,,,6/02/2026,2026,ROTARY,George Rivera - Rotary
137,CALI,DAGUA,Buenos Aires ,62,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
138,CALI,DAGUA,CENTELLA ALTA,52,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
139,CALI,DAGUA,LA CLEMENTINA (BAHONDO),21,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
140,CALI,DAGUA,LOS COLORADOS,20,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
141,CALI,DAGUA,SAN VICENTE ALTO,21,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
143,CALI,GINEBRA,CANAIMA,23,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
144,CALI,GINEBRA,LOS MEDIOS,34,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
145,CALI,GINEBRA,MORAVIA ,24,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
146,CALI,PRADERA,SAN ANTONIO,46,#¡REF!,Vivienda,EKOFIL,Campesinos,,,,,2026,ROTARY,George Rivera - Rotary
